"sampleSize" "rep" "id" "interceptBias" "slopeBias" "error" "errorMessage"
1000 8 1 0.00212842520773769 0.0266495905062629 FALSE ""
1000 88 2 0.0158140521057181 0.0667441447232691 FALSE ""
50 24 3 0.0360349899823998 0.242632762350287 FALSE ""
500 87 4 0.0500045596601805 0.051043986976272 FALSE ""
500 53 5 0.0582430530315035 0.0251142338254098 FALSE ""
50 8 6 0.151218060007777 0.0926391771768311 FALSE ""
500 48 7 0.00123712429937508 0.0605000721223968 FALSE ""
50 39 8 0.0563405711062393 0.0130865747455735 FALSE ""
1000 73 9 0.00569986574654877 0.0269317977419137 FALSE ""
100 94 10 0.14209927605003 0.0240493243647169 FALSE ""
250 98 11 0.00753276478988344 0.000321527935364996 FALSE ""
500 71 12 0.0368017929950358 0.0170144766387303 FALSE ""
100 29 13 0.0491597766802942 0.0313739412060823 FALSE ""
100 90 14 0.0792144338615113 0.186169431166802 FALSE ""
50 75 15 0.162656497608858 0.0545738255584545 FALSE ""
50 76 16 0.171981231118822 0.0233892225570773 FALSE ""
250 40 17 0.086230999320265 0.0997060398444736 FALSE ""
100 81 18 0.161390405726369 0.0774226624959384 FALSE ""
250 80 19 0.0041868877101124 0.0844569807358205 FALSE ""
250 51 20 0.0153612402345958 0.0314378804817728 FALSE ""
500 75 21 0.0510377620538412 0.0296264364730336 FALSE ""
250 22 22 0.15200821614005 0.00244103362134052 FALSE ""
250 63 23 0.0301724223741392 0.0782376134381714 FALSE ""
100 47 24 0.0388909822744756 0.12677315832608 FALSE ""
100 20 25 0.0801434788330265 0.144363542219674 FALSE ""
1000 51 26 0.00461407567098292 0.00414242195533809 FALSE ""
250 28 27 0.0784059611587774 0.00600401821064664 FALSE ""
50 72 28 0.221801724902693 0.0637728509567561 FALSE ""
250 48 29 0.00885704753974663 0.0278690808229649 FALSE ""
500 82 30 0.0127872845941263 0.0462108263622621 FALSE ""
50 86 31 0.0279159788771169 0.244505043338235 FALSE ""
250 76 32 0.0311958463725947 0.023872773805703 FALSE ""
100 91 33 0.0702623027564229 0.0799356557001696 FALSE ""
50 83 34 0.164120347977913 0.378762184181279 FALSE ""
500 74 35 0.0182122096913777 0.0406372591366035 FALSE ""
1000 57 36 0.00658441932244042 0.00213573103230551 FALSE ""
50 69 37 0.104150412054426 0.0652300169088019 FALSE ""
250 67 38 0.024989094161534 0.0358967637124545 FALSE ""
250 59 39 0.0317630929874447 0.00395417260773423 FALSE ""
500 12 40 0.0806666898816259 0.00942017745418167 FALSE ""
500 21 41 0.0132162089632936 0.0168587860398158 FALSE ""
100 3 42 0.0275735474413591 0.185996397507006 FALSE ""
1000 32 43 0.0490640226004389 0.00509634742486387 FALSE ""
1000 33 44 0.0568776062710834 0.0168530485470174 FALSE ""
1000 23 45 0.0159789964953767 0.00418277002808387 FALSE ""
250 14 46 0.0333420848982447 0.00915411180319414 FALSE ""
100 100 47 0.00516534009653825 0.0845555922749428 FALSE ""
1000 30 48 0.0189799785983048 0.00133381827996526 FALSE ""
250 60 49 0.00911295921623349 0.00360587343784036 FALSE ""
100 26 50 0.0102906947735646 0.00736543110362042 FALSE ""
500 2 51 0.0257868301517783 0.082230690379572 FALSE ""
250 66 52 0.0168663355081035 0.0712022157274027 FALSE ""
1000 65 53 0.0176801406162443 0.059775561309326 FALSE ""
250 13 54 0.00888514715038679 0.103573161382554 FALSE ""
50 96 55 0.175435759237286 0.00343626085005821 FALSE ""
250 37 56 0.0784965335082626 0.0173025699465354 FALSE ""
1000 13 57 0.000195784763473458 0.0448976543266972 FALSE ""
500 61 58 0.00490833054817544 0.0086150830663746 FALSE ""
100 86 59 0.109297274639757 0.0547452505842579 FALSE ""
1000 28 60 0.00706945168883889 0.00516099404225043 FALSE ""
500 18 61 0.0148356018431475 0.00747192485848752 FALSE ""
50 73 62 0.0771006331366735 0.208323305811974 FALSE ""
500 37 63 0.0231239437164664 0.0331531730146253 FALSE ""
1000 60 64 0.00311043842255852 0.0267433776947525 FALSE ""
1000 89 65 0.0545356772001112 0.0337251958833424 FALSE ""
250 32 66 0.0103762683633516 0.176902836096229 FALSE ""
250 62 67 0.0480064447180775 0.0825809895941182 FALSE ""
50 41 68 0.0927365183287992 0.0908310082445878 FALSE ""
500 78 69 0.0652820249696399 0.0234538253306686 FALSE ""
1000 63 70 0.0503280133442546 0.0165840488383879 FALSE ""
1000 45 71 0.00105063507269044 0.0432294968903384 FALSE ""
1000 83 72 0.0278631683385466 0.0209767081739223 FALSE ""
50 31 73 0.084568999225743 0.128523455764311 FALSE ""
250 65 74 0.0678009934356903 0.0184838443526758 FALSE ""
500 98 75 0.0115953807858108 0.0350167088722608 FALSE ""
100 97 76 0.000228335539521607 0.109795059865125 FALSE ""
100 78 77 0.0568063363416295 0.0670295796100706 FALSE ""
500 60 78 0.0438165524643154 0.0271897509706329 FALSE ""
50 60 79 0.190903587062869 0.128905489910837 FALSE ""
50 11 80 0.111272109060143 0.141123596343359 FALSE ""
250 12 81 0.0347235722874915 0.0260091267007854 FALSE ""
100 8 82 0.116537933388512 0.0665944841829353 FALSE ""
500 86 83 0.0523148722387211 0.00398119375858375 FALSE ""
1000 92 84 0.0200145646923629 0.075321200094838 FALSE ""
500 92 85 0.00582696210310826 0.0321826114195116 FALSE ""
50 88 86 0.125560094955402 0.218199667737907 FALSE ""
50 45 87 0.0292969653872927 0.155062181848844 FALSE ""
250 21 88 0.0256262380033038 0.0517089198257786 FALSE ""
100 12 89 0.11888470325731 0.0137583837684099 FALSE ""
1000 97 90 0.0490736227291479 0.00362770851225062 FALSE ""
100 93 91 0.0320700068664601 0.0152340068850799 FALSE ""
1000 40 92 0.00650948355120351 0.00593421339678057 FALSE ""
100 28 93 0.0823808798756541 0.061874891852127 FALSE ""
250 6 94 0.10640966820614 0.0281634533823754 FALSE ""
50 32 95 0.0736324285016697 0.289376587479435 FALSE ""
500 31 96 0.0169353978109193 0.0307590731403089 FALSE ""
100 23 97 0.169892766862473 0.0882961350240497 FALSE ""
500 90 98 0.0951546507353899 0.0249360205202505 FALSE ""
1000 95 99 0.0410830354102332 0.0127584201335096 FALSE ""
1000 81 100 0.00937928481633266 0.036807190360438 FALSE ""
250 31 101 0.0134810244223324 0.0804873259733518 FALSE ""
500 64 102 0.0230943294753733 0.0384478257587624 FALSE ""
500 73 103 0.0646644810414369 0.00748831004667627 FALSE ""
500 57 104 0.0411376809459067 0.0492412724848235 FALSE ""
50 58 105 0.069922854600114 0.13799032114866 FALSE ""
100 89 106 0.146937368444172 0.0352925998990167 FALSE ""
50 47 107 0.213036588286141 0.0207254935224944 FALSE ""
50 20 108 0.172027384223128 0.347572653055195 FALSE ""
250 55 109 0.0138031906461308 0.0799197890926973 FALSE ""
50 65 110 0.0489112009755691 0.202996180407579 FALSE ""
500 51 111 0.0119974064943089 0.0646035404634254 FALSE ""
1000 36 112 0.0386009572060029 0.0142397135455913 FALSE ""
250 26 113 0.0637855862290622 0.0968076787293374 FALSE ""
1000 74 114 0.0496650931272235 0.0467870937753811 FALSE ""
100 35 115 0.0266279759719231 0.0876812603871139 FALSE ""
250 1 116 0.0369544519824553 0.0233414366946472 FALSE ""
250 71 117 0.093254842459102 0.049639618212532 FALSE ""
1000 20 118 0.0150838615048961 0.00129542676737682 FALSE ""
500 94 119 0.0581396498714272 0.0389307426137491 FALSE ""
100 63 120 0.048700217455514 0.112953240897238 FALSE ""
100 75 121 0.0439127389092207 0.123472961904142 FALSE ""
250 79 122 0.140582410326843 0.0464383245079064 FALSE ""
500 67 123 0.0233961886044992 0.0834414105216644 FALSE ""
50 23 124 0.0105472036304537 0.0906366642909088 FALSE ""
250 23 125 0.000750503519222321 0.0303134396920849 FALSE ""
50 10 126 0.132539042168807 0.0791683485999921 FALSE ""
250 29 127 0.0664759489565721 0.0842278342051839 FALSE ""
1000 55 128 0.0287567363864489 0.001755788579477 FALSE ""
1000 34 129 0.0327778661855651 0.00784729460732114 FALSE ""
100 33 130 0.0906569468146323 0.087518049564302 FALSE ""
1000 26 131 0.049163423545602 0.00915532101598604 FALSE ""
50 16 132 0.183527121254999 0.250930941498743 FALSE ""
500 76 133 0.0221246433818117 0.056503603927211 FALSE ""
1000 86 134 0.00681104004895277 0.0343717531498091 FALSE ""
100 53 135 0.0664606115484489 0.181995126847731 FALSE ""
500 55 136 0.049625812816185 0.0416670858256273 FALSE ""
250 18 137 0.0895959225017441 0.123563139732629 FALSE ""
250 100 138 0.0647638400370872 0.0258797570760808 FALSE ""
100 74 139 0.177592212849928 0.0302359007389488 FALSE ""
1000 17 140 0.0134243899002645 0.0142636898399583 FALSE ""
100 49 141 0.173989705507189 0.0295020519993952 FALSE ""
250 68 142 0.00934844601311518 0.0355684274769268 FALSE ""
250 58 143 0.106012252298409 0.00461547002741736 FALSE ""
100 14 144 0.0618420127326625 0.0571193025444534 FALSE ""
500 40 145 0.0519648435291734 0.0410217236377877 FALSE ""
500 33 146 0.0384431080009321 0.0416835290598443 FALSE ""
100 43 147 0.194624152430636 0.00620095327465631 FALSE ""
1000 18 148 0.0157501641975752 0.00921377634037768 FALSE ""
1000 42 149 0.022903392505068 0.0426918763454695 FALSE ""
500 16 150 0.0628421011115947 0.0656028600329309 FALSE ""
250 85 151 0.0192026666248696 0.00901209452748014 FALSE ""
50 12 152 0.0896748515019923 0.0429438114153774 FALSE ""
250 35 153 0.0462575106427196 0.0337884224734679 FALSE ""
250 30 154 0.044227097866658 0.0125105378575598 FALSE ""
250 27 155 0.0143584067077195 0.128794059517401 FALSE ""
1000 41 156 0.014902231559153 0.0322765497282879 FALSE ""
50 14 157 0.0423746293530574 0.0641661867581217 FALSE ""
500 1 158 0.0224280847476626 0.0818976305926541 FALSE ""
500 25 159 0.064449505717984 0.000140955299751111 FALSE ""
1000 82 160 0.0173634924859574 0.0246041288292553 FALSE ""
100 39 161 0.110021491197383 0.080888140129185 FALSE ""
250 97 162 0.112084008468341 0.00977967224327245 FALSE ""
500 79 163 0.00641924060801163 0.0302282394452263 FALSE ""
100 15 164 0.0624081426217255 0.134887763821869 FALSE ""
50 89 165 0.140885038222396 0.0723530702680635 FALSE ""
100 11 166 0.0391731425665497 0.0689382820682755 FALSE ""
100 79 167 0.0928573658203819 0.0930322097219735 FALSE ""
500 80 168 0.0176600134437205 0.0493933166918927 FALSE ""
1000 39 169 0.0235794826995224 0.0396730949895401 FALSE ""
1000 4 170 0.0137725857110909 0.00653040638383007 FALSE ""
100 48 171 0.00347437961942496 0.0612468430640128 FALSE ""
50 49 172 0.251742512577878 0.0669258563983272 FALSE ""
1000 100 173 0.0237798500516702 0.0247151091635168 FALSE ""
50 30 174 0.187532011336343 0.249769176053217 FALSE ""
1000 1 175 0.000299043942294875 0.058993653592096 FALSE ""
250 9 176 0.0652998523593224 0.130748909072849 FALSE ""
