"sampleSize" "beta" "sigma" "rep" "id" "betaEst" "bias" "Rsquared" "error" "errorMessage"
250 0 0.5 36 1 -0.138252992324656 0.138252992324656 0.0208940644208824 FALSE ""
100 0.5 0.5 60 2 0.428878602695306 0.0711213973046936 0.154319799886792 FALSE ""
100 0 0.5 29 3 -0.0137979270910815 0.0137979270910815 0.000220966180886968 FALSE ""
250 1 0.25 21 4 0.972020799438216 0.0279792005617836 0.468068565114015 FALSE ""
250 0.5 0.25 43 5 0.456182004796251 0.0438179952037486 0.167446885867078 FALSE ""
250 1 1 5 6 1.02707853944824 0.0270785394482436 0.555880751959359 FALSE ""
50 1 1 22 7 1.07988957710253 0.0798895771025252 0.568962467767319 FALSE ""
100 1 0.5 78 8 0.947139423567341 0.0528605764326592 0.491630807959731 FALSE ""
250 1 0.5 47 9 1.02032640533521 0.0203264053352097 0.510936987580714 FALSE ""
100 0.5 0.25 2 10 0.493075970896988 0.00692402910301215 0.18701550761913 FALSE ""
250 1 1 66 11 0.991951212582452 0.00804878741754778 0.507546864973242 FALSE ""
100 0.5 0.5 33 12 0.571092410322719 0.0710924103227193 0.206926515711565 FALSE ""
250 0 0.25 33 13 -0.0319807571576919 0.0319807571576919 0.00107457215186867 FALSE ""
100 1 0.5 47 14 0.871025840918418 0.128974159081582 0.376867960494653 FALSE ""
50 1 1 69 15 1.03583048159494 0.0358304815949377 0.540864811512427 FALSE ""
100 1 1 56 16 1.08796413274565 0.0879641327456471 0.561822929849114 FALSE ""
100 0 0.25 74 17 -0.0189307593535732 0.0189307593535732 0.000381525819036789 FALSE ""
50 0.5 0.5 51 18 0.814936421637289 0.314936421637289 0.411888642371543 FALSE ""
50 1 1 20 19 1.26944915586175 0.269449155861752 0.514724958189954 FALSE ""
100 0 1 99 20 -0.0762397907560643 0.0762397907560643 0.00619398149460192 FALSE ""
100 1 1 95 21 1.09933859721135 0.0993385972113465 0.607102040681043 FALSE ""
100 1 0.5 80 22 1.02706106920772 0.0270610692077151 0.468082051908073 FALSE ""
250 0 0.25 24 23 -0.045671050858311 0.045671050858311 0.00187111719712518 FALSE ""
50 0.5 0.25 20 24 0.475131398452227 0.024868601547773 0.139097615557162 FALSE ""
50 0.5 0.5 21 25 0.486025471440787 0.0139745285592134 0.214098643820956 FALSE ""
100 0 1 20 26 0.239795043778117 0.239795043778117 0.066447203087344 FALSE ""
50 0.5 0.5 91 27 0.758117633514892 0.258117633514892 0.402946708022082 FALSE ""
250 1 0.25 88 28 1.10025713206197 0.100257132061968 0.552650748016217 FALSE ""
100 1 1 98 29 0.893679152465841 0.106320847534159 0.554755261555297 FALSE ""
100 0 0.25 75 30 0.131703395006651 0.131703395006651 0.0145940883313253 FALSE ""
100 0 0.5 61 31 -0.159405147179224 0.159405147179224 0.0176564040379536 FALSE ""
50 0.5 1 13 32 0.261640754794595 0.238359245205405 0.0463732623963117 FALSE ""
50 0 0.25 58 33 0.00347934013590568 0.00347934013590568 1.27785173855556e-05 FALSE ""
250 0 0.5 55 34 -0.0415209855572632 0.0415209855572632 0.00231941654462298 FALSE ""
250 1 0.5 84 35 1.08101360694897 0.0810136069489653 0.53243511393936 FALSE ""
250 1 0.25 66 36 0.983680673062825 0.0163193269371751 0.498820373365103 FALSE ""
50 0.5 0.5 43 37 0.663960938276491 0.163960938276491 0.29117445664444 FALSE ""
100 0.5 1 35 38 0.414251378332047 0.0857486216679529 0.148415690333994 FALSE ""
100 0 0.25 39 39 0.236892606047046 0.236892606047046 0.0552772278948111 FALSE ""
100 0.5 0.25 37 40 0.366571602600729 0.133428397399271 0.106402120517805 FALSE ""
250 0.5 0.5 70 41 0.601650312458301 0.101650312458301 0.271256447342696 FALSE ""
250 0 0.25 6 42 0.115621390639477 0.115621390639477 0.0160375060216348 FALSE ""
100 0 0.25 56 43 0.0219532927817009 0.0219532927817009 0.000641653993039824 FALSE ""
100 0 1 81 44 -0.193632267703347 0.193632267703347 0.0455867665555459 FALSE ""
250 0.5 1 8 45 0.488681132371131 0.011318867628869 0.197157525143932 FALSE ""
250 0 1 32 46 -0.0257449923806236 0.0257449923806236 0.000665956737595035 FALSE ""
100 1 0.25 27 47 1.02422082342279 0.024220823422791 0.527643052170675 FALSE ""
50 0 0.5 10 48 -0.00386278689697308 0.00386278689697308 1.6423998254339e-05 FALSE ""
250 0.5 0.5 49 49 0.462102109116552 0.0378978908834481 0.159725535743431 FALSE ""
50 0 1 79 50 -0.104480825106534 0.104480825106534 0.00972784505286039 FALSE ""
250 1 0.25 14 51 1.00863144434869 0.00863144434868524 0.50966134283943 FALSE ""
50 0 1 35 52 0.187359125393879 0.187359125393879 0.0556590518191556 FALSE ""
100 1 0.5 2 53 0.81567117002604 0.18432882997396 0.415276665461393 FALSE ""
50 0.5 1 44 54 0.308560039669362 0.191439960330638 0.0746984564051548 FALSE ""
50 0.5 0.5 22 55 0.464932138603341 0.0350678613966587 0.259409754564108 FALSE ""
50 0.5 0.5 86 56 0.540291165994926 0.040291165994926 0.242539537016218 FALSE ""
50 0 0.5 44 57 -0.02503170834618 0.02503170834618 0.00063197487418904 FALSE ""
50 0 0.5 40 58 0.0922795571049658 0.0922795571049658 0.00836544642205365 FALSE ""
250 0 0.25 96 59 0.0838745941330831 0.0838745941330831 0.0055351061825422 FALSE ""
250 0.5 0.25 39 60 0.497991992718233 0.00200800728176664 0.227194139377977 FALSE ""
250 0 1 94 61 0.0314481928681568 0.0314481928681568 0.000835743916216329 FALSE ""
250 1 1 75 62 0.924646965650823 0.0753530343491767 0.413323425815302 FALSE ""
100 1 0.5 13 63 1.03867216808905 0.0386721680890481 0.439746595499469 FALSE ""
50 0 1 59 64 0.0706059519630732 0.0706059519630732 0.0053769237228008 FALSE ""
50 0 1 8 65 0.208190138281927 0.208190138281927 0.0479700698160747 FALSE ""
250 0.5 0.25 14 66 0.440632050345195 0.059367949654805 0.164187012699788 FALSE ""
250 0.5 0.5 43 67 0.364056683452893 0.135943316547107 0.112341342828434 FALSE ""
100 1 0.25 42 68 1.00540856106784 0.00540856106784404 0.549033677628324 FALSE ""
50 0.5 0.25 62 69 0.324921462367441 0.175078537632559 0.0557263805428628 FALSE ""
100 0 0.5 71 70 0.183608068525128 0.183608068525128 0.033187116115294 FALSE ""
250 1 0.25 68 71 0.993999126842753 0.00600087315724662 0.456702868336769 FALSE ""
100 0.5 1 68 72 0.47449656048758 0.02550343951242 0.171258320597214 FALSE ""
100 0.5 0.25 1 73 0.558353086630807 0.0583530866308066 0.248497163301712 FALSE ""
50 0.5 0.25 70 74 0.263696950947986 0.236303049052014 0.046577614886914 FALSE ""
250 1 0.5 75 75 1.03595885165906 0.0359588516590565 0.53635896946889 FALSE ""
250 0.5 0.25 96 76 0.439785257688141 0.0602147423118585 0.185180432584158 FALSE ""
100 0 0.5 27 77 0.130487318075168 0.130487318075168 0.0135177873094555 FALSE ""
250 0 0.5 93 78 0.0325474892706108 0.0325474892706108 0.000990081044846087 FALSE ""
50 0 0.25 4 79 -0.190260533593102 0.190260533593102 0.0332219587718528 FALSE ""
50 0 1 20 80 0.0161466859757546 0.0161466859757546 0.000339442129350102 FALSE ""
100 0.5 0.25 51 81 0.672916209963674 0.172916209963674 0.278470308221567 FALSE ""
250 1 0.25 81 82 0.975513232728261 0.0244867672717395 0.482978325633112 FALSE ""
100 0 1 36 83 0.111384380767884 0.111384380767884 0.0165581238057279 FALSE ""
50 1 1 10 84 1.04848370653218 0.0484837065321841 0.688988038170092 FALSE ""
250 0.5 1 9 85 0.45810728012489 0.0418927198751097 0.162571379612374 FALSE ""
250 0 0.5 68 86 -0.0162468914246384 0.0162468914246384 0.000246081936714344 FALSE ""
100 0.5 0.25 25 87 0.663887131337586 0.163887131337586 0.346656536549553 FALSE ""
100 1 0.5 40 88 1.06761749475976 0.0676174947597612 0.483469586365684 FALSE ""
100 1 0.25 44 89 0.905907919954334 0.0940920800456656 0.426539916172796 FALSE ""
100 0.5 0.25 86 90 0.420272726796345 0.079727273203655 0.143607533543772 FALSE ""
250 0.5 1 85 91 0.454770827170907 0.0452291728290929 0.162148824100996 FALSE ""
250 1 0.25 24 92 1.02574076214874 0.0257407621487384 0.515226775215794 FALSE ""
50 1 1 14 93 0.828475612543767 0.171524387456233 0.517058459958238 FALSE ""
250 0.5 0.5 76 94 0.33759154228554 0.16240845771446 0.103203519953948 FALSE ""
250 0 0.5 59 95 0.0443703816782857 0.0443703816782857 0.0023584875444374 FALSE ""
