"sampleSize" "rep" "id" "interceptBias" "slopeBias" "error" "errorMessage"
100 48 1 0.0497437854507113 0.0378395529628873 FALSE ""
250 4 2 0.057719306320972 0.0975532111041832 FALSE ""
500 10 3 0.124560437335601 0.101740887619894 FALSE ""
250 29 4 0.0302492995736477 0.0207411860288773 FALSE ""
100 21 5 0.0400665758627022 0.188159644566488 FALSE ""
250 62 6 0.13521006404624 0.0451303721380061 FALSE ""
50 86 7 0.0554425038850984 0.129037733925818 FALSE ""
250 8 8 0.0123545045123827 0.0157175977158547 FALSE ""
50 80 9 0.234132000352545 0.137762526921227 FALSE ""
500 78 10 0.0401085432354994 0.0714927525333488 FALSE ""
250 50 11 0.0576588874435699 0.0579110049650148 FALSE ""
100 99 12 0.0654540610963629 0.0912341624697857 FALSE ""
500 9 13 0.0372448747520455 0.0297309506986971 FALSE ""
1000 33 14 0.0409075326663864 0.0358003938170897 FALSE ""
500 73 15 0.0309724001509584 0.0218828971542782 FALSE ""
50 20 16 0.035521134120956 0.240128440996704 FALSE ""
50 22 17 0.0670043877294672 0.193916024883966 FALSE ""
100 94 18 0.0482719812972332 0.018771308922178 FALSE ""
500 33 19 0.00041349002067958 0.000122941569686508 FALSE ""
100 37 20 0.127556636311233 0.0899824724839518 FALSE ""
100 72 21 0.127570585774148 0.0125038085026297 FALSE ""
50 17 22 0.110649027361772 0.28301017357801 FALSE ""
500 49 23 0.0313246503165751 0.0604290158744715 FALSE ""
500 24 24 0.0356284355672538 0.000366303249281552 FALSE ""
250 89 25 0.025746915141367 0.0341505964488313 FALSE ""
50 76 26 0.00612130850312071 0.327903664578031 FALSE ""
500 60 27 0.0181010194272205 0.0567640872467366 FALSE ""
1000 54 28 0.0154294859960667 0.0234691272024669 FALSE ""
100 91 29 0.0597089564200247 0.0936681475608344 FALSE ""
50 25 30 0.00914609666908026 0.166536478599929 FALSE ""
250 67 31 0.0557660924276194 0.10956554354359 FALSE ""
50 21 32 0.0231535021015716 0.190916581844702 FALSE ""
100 82 33 0.0856969947633234 0.0126877077789765 FALSE ""
1000 42 34 0.0552780993376923 0.0384405825933053 FALSE ""
